timestamp,acc_x,acc_y,acc_z
47886,0.0737,-0.7827,0.9045
47902,0.0697,-0.7742,0.8883
47933,0.0579,-0.7610,0.8187
47943,0.0549,-0.7585,0.7952
47959,0.0497,-0.7548,0.7430
47975,0.0454,-0.7528,0.6863
47991,0.0419,-0.7533,0.6273
48009,0.0386,-0.7563,0.5679
48025,0.0354,-0.7622,0.5094
48040,0.0316,-0.7715,0.4532
48058,0.0275,-0.7842,0.4006
48095,0.0186,-0.8180,0.3116
48111,0.0153,-0.8375,0.2770
48127,0.0132,-0.8582,0.2487
48142,0.0123,-0.8794,0.2257
48158,0.0122,-0.9008,0.2067
48174,0.0127,-0.9219,0.1903
48190,0.0135,-0.9419,0.1758
48200,0.0140,-0.9512,0.1691
48239,0.0168,-0.9867,0.1392
48255,0.0173,-0.9939,0.1289
48287,0.0161,-0.9946,0.1129
48303,0.0143,-0.9886,0.1083
48319,0.0121,-0.9791,0.1069
48329,0.0110,-0.9734,0.1078
48345,0.0088,-0.9607,0.1129
48361,0.0070,-0.9475,0.1229
48374,0.0060,-0.9352,0.1378
48392,0.0059,-0.9246,0.1572
48408,0.0065,-0.9163,0.1805
48424,0.0073,-0.9104,0.2065
48440,0.0081,-0.9065,0.2339
48451,0.0082,-0.9049,0.2477
48461,0.0081,-0.9037,0.2614
48472,0.0072,-0.9016,0.2875
48488,0.0065,-0.9008,0.3116
48504,0.0042,-0.8994,0.3226
48584,-0.0099,-0.8949,0.3820
48594,-0.0105,-0.8945,0.3822
48610,-0.0106,-0.8939,0.3794
48626,-0.0094,-0.8938,0.3727
48642,-0.0068,-0.8945,0.3623
48660,-0.0031,-0.8962,0.3413
48682,0.0044,-0.9008,0.3248
48698,0.0101,-0.9047,0.3074
48714,0.0160,-0.9093,0.2905
48756,0.0291,-0.9205,0.2582
48765,0.0310,-0.9221,0.2543
48781,0.0338,-0.9242,0.2495
48794,0.0347,-0.9247,0.2491
48805,0.0342,-0.9243,0.2507
48844,0.0229,-0.9144,0.2743
48854,0.0194,-0.9106,0.2814
48870,0.0117,-0.9017,0.2963
48885,0.0045,-0.8922,0.3107
48901,-0.0016,-0.8839,0.3229
48938,-0.0071,-0.8771,0.3716
48954,-0.0049,-0.8792,0.3477
48970,0.0011,-0.8833,0.3553
48980,0.0106,-0.8879,0.3635
48995,0.0164,-0.8900,0.3677
49011,0.0287,-0.8932,0.3756
49027,0.0415,-0.8947,0.3824
49044,0.0536,-0.8938,0.3877
49060,0.0643,-0.8906,0.3909
49076,0.0735,-0.8856,0.3927
49086,0.0809,-0.8796,0.3940
49102,0.0840,-0.8451,0.3969
49135,0.0935,-0.8571,0.4131
49167,0.0946,-0.8451,0.4401
49177,0.0936,-0.8379,0.4661
49193,0.0916,-0.8313,0.4984
49208,0.0903,-0.8280,0.5165
49224,0.0872,-0.8215,0.5553
49242,0.0814,-0.8123,0.6154
49257,0.0792,-0.8094,0.6345
49273,0.0745,-0.8047,0.6700
49291,0.0677,-0.7999,0.7126
49327,0.0620,-0.7983,0.7452
49343,0.0610,-0.7986,0.7512
49359,0.0612,-0.7986,0.7515
49377,0.0615,-0.7979,0.7469
49390,0.0615,-0.7964,0.7388
49406,0.0607,-0.7943,0.7278
49421,0.0598,-0.7931,0.7214
49439,0.0564,-0.7899,0.7000
49474,0.0513,-0.7898,0.6658
49485,0.0500,-0.7910,0.6558
49496,0.0475,-0.7952,0.6334
50559,0.0277,-0.9203,0.2598
50724,0.0077,-0.8584,0.4159
50734,0.0073,-0.8572,0.4280
50749,0.0067,-0.8539,0.4512
50765,0.0062,-0.8501,0.4724
50775,0.0057,-0.8483,0.4821
50791,0.0045,-0.8451,0.4995
50820,0.0020,-0.8422,0.5225
50836,0.0006,-0.8409,0.5376
50852,0.0004,-0.8398,0.5531
50862,0.0006,-0.8389,0.5687
50894,0.0024,-0.8375,0.5907
50910,0.0033,-0.8368,0.6034
50928,0.0042,-0.8357,0.6195
50944,0.0045,-0.8350,0.6293
50955,0.0055,-0.8346,0.6342
50971,0.0072,-0.8336,0.6438
50981,0.0083,-0.8329,0.6487
51011,0.0146,-0.8281,0.6688
51027,0.0184,-0.8245,0.6783
51043,0.0223,-0.8203,0.6868
51053,0.0243,-0.8180,0.6903
51069,0.0277,-0.8132,0.6949
51082,0.0292,-0.8108,0.6959
51097,0.0316,-0.8063,0.6947
51115,0.0332,-0.8024,0.6885
51131,0.0341,-0.7997,0.6771
51147,0.0341,-0.7987,0.6603
51163,0.0333,-0.7999,0.6388
51198,0.0305,-0.8116,0.5743
51230,0.0297,-0.8228,0.5055
51246,0.0293,-0.8308,0.5143
51262,0.0288,-0.8390,0.4945
51272,0.0278,-0.8469,0.4774
51287,0.0271,-0.8507,0.4698
51303,0.0255,-0.8579,0.4569
51319,0.0238,-0.8641,0.4468
51330,0.0220,-0.8696,0.4388
51340,0.0209,-0.8722,0.4354
51356,0.0179,-0.8770,0.4288
51372,0.0142,-0.8812,0.4218
51388,0.0096,-0.8850,0.4139
51406,0.0048,-0.8882,0.4049
51417,0.0023,-0.8895,0.3998
51433,-0.0024,-0.8918,0.3883
51449,-0.0072,-0.8940,0.3748
51486,-0.0173,-0.8994,0.3304
51518,-0.0215,-0.9049,0.2878
