sys_ms,acc_x,acc_y,acc_z
42927,0.4205,-0.2721,0.8876
42950,0.4205,-0.2721,0.8875
42972,0.4205,-0.2721,0.8875
42989,0.4205,-0.2722,0.8875
43012,0.4204,-0.2722,0.8875
43034,0.4204,-0.2722,0.8875
43091,0.4204,-0.2725,0.8875
43113,0.4204,-0.2726,0.8875
43135,0.4204,-0.2727,0.8875
43157,0.4204,-0.2728,0.8876
43174,0.4204,-0.2729,0.8876
43197,0.4204,-0.2732,0.8876
43215,0.4205,-0.2733,0.8876
43233,0.4205,-0.2736,0.8876
43278,0.4205,-0.2743,0.8876
43302,0.4207,-0.2748,0.8876
43324,0.4207,-0.2749,0.8876
43346,0.4207,-0.2751,0.8876
43372,0.4208,-0.2754,0.8875
43395,0.4208,-0.2755,0.8875
43417,0.4208,-0.2756,0.8875
43460,0.4208,-0.2755,0.8876
43483,0.4208,-0.2753,0.8876
43500,0.4208,-0.2751,0.8876
43521,0.4208,-0.2749,0.8877
43543,0.4208,-0.2748,0.8877
43567,0.4207,-0.2743,0.8877
43590,0.4207,-0.2740,0.8877
43612,0.4207,-0.2736,0.8877
43655,0.4207,-0.2732,0.8877
43678,0.4207,-0.2728,0.8876
43695,0.4207,-0.2726,0.8876
43717,0.4205,-0.2725,0.8876
43740,0.4205,-0.2723,0.8875
43757,0.4205,-0.2723,0.8875
43779,0.4205,-0.2721,0.8875
43802,0.4205,-0.2721,0.8873
43819,0.4204,-0.2720,0.8873
43837,0.4204,-0.2720,0.8873
43859,0.4204,-0.2719,0.8873
43881,0.4204,-0.2719,0.8873
43915,0.4203,-0.2719,0.8873
43938,0.4203,-0.2719,0.8873
43955,0.4203,-0.2719,0.8875
43977,0.4203,-0.2720,0.8875
44000,0.4204,-0.2720,0.8875
44017,0.4204,-0.2721,0.8875
44039,0.4204,-0.2721,0.8875
44059,0.4204,-0.2722,0.8875
44123,0.4205,-0.2722,0.8873
44148,0.4205,-0.2722,0.8873
44170,0.4207,-0.2723,0.8873
44192,0.4207,-0.2726,0.8872
44209,0.4207,-0.2727,0.8872
44232,0.4207,-0.2729,0.8872
44249,0.4207,-0.2732,0.8872
44309,0.4207,-0.2743,0.8872
44332,0.4207,-0.2745,0.8872
44355,0.4207,-0.2749,0.8872
44378,0.4207,-0.2750,0.8872
44402,0.4205,-0.2753,0.8873
44424,0.4205,-0.2753,0.8873
44442,0.4205,-0.2751,0.8873
44460,0.4204,-0.2751,0.8873
44495,0.4204,-0.2749,0.8875
44518,0.4203,-0.2745,0.8875
44535,0.4203,-0.2743,0.8875
44558,0.4203,-0.2742,0.8875
44580,0.4203,-0.2739,0.8875
44597,0.4203,-0.2737,0.8876
44619,0.4202,-0.2733,0.8876
44642,0.4202,-0.2732,0.8876
44685,0.4203,-0.2727,0.8876
44708,0.4203,-0.2726,0.8876
44725,0.4203,-0.2725,0.8876
44745,0.4203,-0.2723,0.8875
44767,0.4203,-0.2722,0.8875
44792,0.4203,-0.2722,0.8875
44814,0.4203,-0.2722,0.8873
44837,0.4204,-0.2722,0.8873
44872,0.4204,-0.2722,0.8872
44895,0.4204,-0.2722,0.8872
44945,0.4205,-0.2722,0.8872
44967,0.4205,-0.2722,0.8872
44984,0.4205,-0.2722,0.8872
45007,0.4207,-0.2722,0.8872
45026,0.4207,-0.2722,0.8873
45043,0.4207,-0.2722,0.8873
45062,0.4208,-0.2721,0.8873
45082,0.4208,-0.2721,0.8875
45105,0.4208,-0.2721,0.8875
45154,0.4208,-0.2722,0.8876
45179,0.4209,-0.2725,0.8876
45202,0.4209,-0.2726,0.8876
45224,0.4209,-0.2731,0.8876
45241,0.4208,-0.2733,0.8875
45265,0.4208,-0.2736,0.8875
45288,0.4208,-0.2739,0.8875
45341,0.4207,-0.2748,0.8873
45361,0.4205,-0.2749,0.8873
45385,0.4205,-0.2750,0.8872
45407,0.4204,-0.2750,0.8872
45432,0.4204,-0.2750,0.8871
45454,0.4203,-0.2749,0.8871
45471,0.4203,-0.2748,0.8870
45521,0.4203,-0.2744,0.8870
45543,0.4202,-0.2743,0.8870
45560,0.4202,-0.2740,0.8870
45583,0.4202,-0.2739,0.8871
45605,0.4202,-0.2736,0.8872
45622,0.4202,-0.2733,0.8872
45645,0.4202,-0.2732,0.8873
45663,0.4202,-0.2729,0.8873
45681,0.4202,-0.2728,0.8875
45713,0.4202,-0.2725,0.8876
45736,0.4202,-0.2722,0.8876
45753,0.4203,-0.2721,0.8876
45776,0.4203,-0.2721,0.8877
45798,0.4203,-0.2720,0.8877
45815,0.4203,-0.2720,0.8877
45837,0.4204,-0.2720,0.8876
45860,0.4204,-0.2721,0.8876
45903,0.4205,-0.2722,0.8876
45925,0.4205,-0.2723,0.8876
45942,0.4205,-0.2725,0.8876
45962,0.4205,-0.2725,0.8876
45984,0.4205,-0.2727,0.8876
46009,0.4205,-0.2727,0.8876
46026,0.4205,-0.2728,0.8876
46045,0.4204,-0.2729,0.8876
46068,0.4204,-0.2729,0.8876
46085,0.4204,-0.2731,0.8876
46108,0.4203,-0.2731,0.8877
46179,0.4202,-0.2733,0.8877
46196,0.4202,-0.2734,0.8877
46219,0.4202,-0.2736,0.8877
46241,0.4202,-0.2737,0.8877
46258,0.4202,-0.2738,0.8877
46276,0.4203,-0.2742,0.8877
46294,0.4203,-0.2743,0.8876
46354,0.4204,-0.2748,0.8876
